tmdb_id,imdb_id,title,original_title,release_date,year,original_language,runtime,genres,budget,revenue,popularity,tmdb_vote_average,tmdb_vote_count,production_companies
774825,tt13634480,The Ice Age Adventures of Buck Wild,The Ice Age Adventures of Buck Wild,2022-01-28,2022,en,82,Animation | Comedy | Family | Adventure,0,0,4.7868,6.581,1788,Bardel Entertainment | Walt Disney Pictures
926676,tt17041964,Navalny,Navalny,2022-04-08,2022,en,98,Documentary,0,0,4.8339,7.233,262,Fishbowl Films | RaeFilm Studios | Cottage M | CNN Films
821881,tt8745676,The Swimmers,The Swimmers,2022-11-24,2022,en,134,Drama | History,0,0,5.5838,7.441,614,Working Title Films
634429,tt10737918,Shin Ultraman,シン・ウルトラマン,2022-05-13,2022,ja,112,Action | Science Fiction,5500000,34441594,4.0112,7.414,221,Tsuburaya Productions | TOHO | khara | Cine Bazar | TOHO Studios | Shirogumi
836225,tt10362566,The Exorcism of God,The Exorcism of God,2022-03-11,2022,en,98,Horror | Crime | Drama | Fantasy,1500000,0,4.2185,7.09,1132,Epica Pictures INC | Kabche Film Production | Hakuhn | In the Works Productions | Terminal | Mitos Production Company
820067,tt15721650,The Quintessential Quintuplets Movie,映画 五等分の花嫁,2022-05-20,2022,ja,136,Animation | Comedy | Romance,0,17288993,3.9103,8.322,427,Pony Canyon | Nichion | Bibury Animation Studios | BS11 | GYAO | Kodansha | Good Smile Film | Bushiroad | MAGNET | TBS
816952,tt7830806,My Best Friend's Exorcism,My Best Friend's Exorcism,2022-09-29,2022,en,96,Horror | Comedy,0,0,5.3772,5.791,242,Quirk Productions | Endeavor Content | The Gotham Group
573171,tt8101238,Little Eggs: A Frozen Rescue,Huevitos Congelados,2022-12-14,2022,es,91,Animation | Adventure | Comedy | Family,0,0,4.4864,7.7,360,Huevocartoon Producciones
842942,tt9853500,Bandit,Bandit,2022-09-23,2022,en,126,Crime | Drama | Thriller,0,0,4.4431,6.252,387,Goldrush Entertainment | Yale Productions | Lucky 13 Productions | BondIt Media Capital
829280,tt14641788,Enola Holmes 2,Enola Holmes 2,2022-11-30,2022,en,129,Adventure | Mystery | Crime,0,0,4.2832,7.312,1658,Legendary Pictures | PCMA Productions
864101,tt15296186,Mira,Мира,2022-12-22,2022,ru,110,Science Fiction | Drama | Adventure | Family,6042800,0,4.7818,7.551,383,Mars Media Entertainment | AMedia | Russian Cinema Fund
919573,tt19841734,The Innocent,L'Innocent,2022-10-12,2022,fr,99,Comedy | Crime | Romance,4000000,5175806,4.9409,6.757,366,Les Films des Tournelles | Auvergne-Rhône-Alpes Cinéma | ARTE France Cinéma
770724,tt13051724,L'immensità,L'immensità,2022-09-15,2022,it,98,Drama,0,0,5.0094,6.333,223,Wildside | Chapter 2 | Warner Bros Pictures Italia | Pathé | France 3 Cinéma
760099,tt9051908,Living,Living,2022-11-04,2022,en,102,Drama,10000000,6999027,4.5724,6.978,480,Number 9 Films | Film4 Productions | County Hall Arts | Lipsync Productions | RocketScience | Kurosawa Production | Filmgate Films | Film i Väst | Woolley/Karlsen Productions
780609,tt13841850,Men,Men,2022-05-20,2022,en,100,Horror | Thriller | Fantasy,6500000,11152071,4.1613,6.089,1271,A24 | DNA Films
760517,tt15553956,Love and Leashes,모럴센스,2022-02-11,2022,ko,118,Romance | Comedy,0,0,3.8529,6.7,301,See Át Film
744276,tt13070038,After Ever Happy,After Ever Happy,2022-08-24,2022,en,95,Romance | Drama,14000000,19238073,3.8906,6.8,1337,Voltage Pictures | Wattpad | Vertical | Ethea Entertainment | CalMaple Films
823147,tt8129806,To Leslie,To Leslie,2022-10-07,2022,en,119,Drama,0,27322,4.1493,7.037,229,"BCDF Pictures | Baral Waley Productions | Shaken, Not Stirred Productions | Bluewater Lane Productions"
696806,tt2463208,The Adam Project,The Adam Project,2022-03-11,2022,en,104,Adventure | Science Fiction | Comedy,116000000,0,4.4225,7.006,4727,Skydance Media | Maximum Effort | 21 Laps Entertainment
842934,tt14714980,Poker Face,Poker Face,2022-11-16,2022,en,94,Thriller | Crime,0,0,5.164,5.576,399,Screen Media Films | Arclight Films | CatchLight Studios | Alcon Entertainment | Hamilton Entertainment
667739,tt11671006,The Man from Toronto,The Man from Toronto,2022-12-23,2022,en,113,Action | Adventure | Comedy,75000000,0,3.2642,6.409,476,Escape Artists | Sony Pictures | Bron Studios | HartBeat Productions
689700,tt10023022,Clean,Clean,2022-01-28,2022,en,93,Crime | Action | Drama,0,0,4.2287,6.215,423,Fable House
774752,tt13623136,The Guardians of the Galaxy Holiday Special,The Guardians of the Galaxy Holiday Special,2022-11-24,2022,en,45,Comedy | Science Fiction | Adventure,0,0,5.0169,7.1,2246,Marvel Studios | Kevin Feige Productions | Troll Court Entertainment
818397,tt11827628,Memory,Memory,2022-04-28,2022,en,114,Action | Thriller | Crime,30000000,13900000,4.1058,6.747,1601,Black Bear Pictures | Welle Entertainment | Saville Productions | Open Road Films | STXfilms
1030613,tt20119468,Faithfully Yours,Faithfully Yours,2022-12-22,2022,nl,96,Mystery | Thriller,0,1843824,4.248,5.895,229,Millstreet Films
916192,tt17382524,"The Tunnel to Summer, the Exit of Goodbyes",夏へのトンネル、さよならの出口,2022-09-09,2022,ja,83,Animation | Drama | Romance | Fantasy | Science Fiction,0,872000,4.5151,7.69,250,CLAP | Pony Canyon | Shogakukan | Sotsu | STUDIO MAUSU | Kansai Television
779782,tt2935622,The School for Good and Evil,The School for Good and Evil,2022-10-19,2022,en,149,Fantasy | Comedy | Adventure,0,0,4.3276,7,1336,Feigco Entertainment | Jane Startz Productions | Roth Films
1010823,tt21316870,Magnum Opus,Magnum Opus,2022-07-18,2022,en,5,Animation | Family | Science Fiction | Comedy,0,0,3.9707,7.3,275,Marvel Studios
497828,tt7322224,Triangle of Sadness,Triangle of Sadness,2022-09-18,2022,en,147,Comedy | Drama,15600000,24733572,4.0425,7.02,2665,30WEST | BBC Film | Bord Cadre Films | Coproduction Office | Film i Väst | Heretic | Imperative Entertainment | Sovereign Films | Plattform Produktion | SVT | BFI | Piano | ARTE France Cinéma | ZDF/Arte | Essential Filmproduktion | TRT 12 PUNTO
682507,tt9411972,Where the Crawdads Sing,Where the Crawdads Sing,2022-07-14,2022,en,126,Drama | Mystery | Romance,24000000,144353965,4.1744,7.534,2124,3000 Pictures | Hello Sunshine | HarperCollins Publishers
899082,tt16116174,Harry Potter 20th Anniversary: Return to Hogwarts,Harry Potter 20th Anniversary: Return to Hogwarts,2022-01-01,2022,en,103,Documentary,0,0,4.5345,7.304,3461,Pulse Films | Warner Horizon Unscripted Television | Casey Patterson Entertainment
610150,tt14614892,Dragon Ball Super: Super Hero,ドラゴンボール超 スーパーヒーロー,2022-06-11,2022,ja,100,Animation | Science Fiction | Action,0,86600000,4.0026,7.9,2956,Toei Animation | Shueisha | Fuji Television Network | Bandai Namco Entertainment | Toei Company | Bandai | Bandai Spirits
804095,tt14208870,The Fabelmans,The Fabelmans,2022-11-11,2022,en,151,Drama,40000000,45629909,3.6668,7.574,2613,Amblin Entertainment | Reliance Entertainment
661791,tt11807888,The Grandmother,La abuela,2022-01-28,2022,es,101,Drama | Horror,3749231,1817696,3.3473,5.891,472,Atresmedia | Les films du Worso | Canal+ | Ciné+ | Apaches Films
1001865,tt20917338,Scrooge: A Christmas Carol,Scrooge: A Christmas Carol,2022-11-18,2022,en,97,Animation | Family | Fantasy,0,0,5.7723,6.811,466,Timeless Films | Axis Studios
429473,tt5315210,Lou,Lou,2022-09-23,2022,en,107,Action | Thriller,0,0,4.1906,6.51,733,Bad Robot
850028,tt11687104,"Alice, Darling","Alice, Darling",2022-12-30,2022,en,90,Thriller | Drama | Romance,4000000,121067,4.1106,5.652,277,Babe Nation Films | Elevation Pictures | Lionsgate
833339,tt14253846,Speak No Evil,Speak No Evil,2022-03-17,2022,da,98,Horror | Thriller | Drama,3200000,631249,3.885,6.67,1028,Profile Pictures | OAK Motion Pictures
807185,tt13932304,America Latina,America Latina,2022-01-13,2022,it,90,Thriller,0,0,4.2512,6.094,217,The Apartment Pictures | Vision Distribution | Le Pacte
800510,tt14128670,Kimi,Kimi,2022-02-10,2022,en,89,Thriller | Mystery | Crime,3500000,0,4.1804,6.201,950,New Line Cinema | HBO Max
833097,tt14715170,Falling for Christmas,Falling for Christmas,2022-11-10,2022,en,95,Romance | Comedy | Family,0,0,4.3782,6.229,851,WulfPak Productions | Motion Picture Corporation of America | Brad Krevoy Television | Riviera Films
1001835,tt15978956,Wifelike,Wifelike,2022-08-12,2022,en,106,Science Fiction | Mystery | Thriller,0,0,4.1229,6.7,297,Steven Paul Production | Wonder Street | Front Street Pictures
755566,tt13314558,Day Shift,Day Shift,2022-08-12,2022,en,113,Action | Fantasy | Horror | Comedy | Thriller,100000000,0,3.4447,6.752,2114,87Eleven | Impossible Dream Entertainment
555604,tt1488589,Guillermo del Toro's Pinocchio,Guillermo del Toro's Pinocchio,2022-11-09,2022,en,117,Animation | Fantasy | Adventure | Drama,35000000,0,3.8995,8.038,3199,The Jim Henson Company | ShadowMachine | Double Dare You
979924,tt14824590,On the Line,On the Line,2022-10-31,2022,en,104,Thriller | Drama,0,0,3.1743,6.081,553,CaliWood Pictures | R-Lines Productions | Icon Productions | TPC | BondIt
595586,tt10192406,Causeway,Causeway,2022-10-28,2022,en,96,Drama,0,0,4.262,6.449,526,Excellent Cadaver | IAC Films | A24 | IPR.VC
676701,tt14941698,"Tad, the Lost Explorer and the Emerald Tablet",Tadeo Jones 3: La Tabla Esmeralda,2022-08-24,2022,es,89,Animation | Adventure | Family | Comedy | Fantasy,11983950,32800000,3.6468,7.489,327,Lightbox Animation Studios | 4 Cats Pictures | Ikiru Films | Telecinco Cinema
338947,tt0887261,Hellraiser,Hellraiser,2022-09-28,2022,en,121,Horror | Thriller,14000000,0,2.9221,6.165,950,Phantom Four | Spyglass Media Group
893712,tt15830702,Sword Art Online the Movie – Progressive – Scherzo of Deep Night,劇場版 ソードアート・オンライン -プログレッシブ- 冥き夕闇のスケルツォ,2022-10-22,2022,ja,100,Animation | Action | Fantasy | Science Fiction,0,9071701,3.581,7.658,203,A-1 Pictures | EGG FIRM | Straight Edge | Aniplex
872709,tt15471560,Smoking Causes Coughing,Fumer fait tousser,2022-11-30,2022,fr,77,Comedy | Fantasy | Science Fiction,6009575,0,3.6403,6.048,388,Chi-Fou-Mi Productions | Gaumont
810389,tt9155512,The Visitor from the Future,Le Visiteur du futur,2022-09-07,2022,fr,102,Science Fiction | Comedy | Adventure,4500000,1946816,3.3377,6.351,225,Pyramide Productions | KMBO | France 2 Cinéma | OCS | Ciné+ | CNC | SCOPE Pictures | Elle Driver
854359,tt15115280,Sundown,Sundown,2022-01-28,2022,en,82,Drama,0,229257,3.9471,6.167,201,Luxbox | Common Ground Pictures | Film i Väst | Teorema
817758,tt14444726,TÁR,TÁR,2022-09-23,2022,en,158,Music | Drama,35000000,29048571,3.2884,7.089,1443,Focus Features | Standard Film Company | EMJAG Productions
848058,tt10399608,Piggy,Cerdita,2022-10-07,2022,es,99,Drama | Horror,2400000,543064,4.143,6.582,669,Morena Films | Backup Media | Cerdita AIE
890656,tt14158554,Fistful of Vengeance,Fistful of Vengeance,2022-02-17,2022,en,97,Action | Fantasy,0,0,3.5055,5.597,319,Flame Ventures | Wirthwhile TV | Living Films
820912,tt13456318,Persuasion,Persuasion,2022-07-01,2022,en,108,Romance | Drama | Comedy,0,0,3.8722,6.083,631,MRC | Bisous Pictures | Mad Chance | Fourth & Twenty Eight Films
