"title","year","decade","genre_main","imdb_weighted_rating","budget","revenue","profit","profitability","log_budget","log_revenue","tag"
"Nineteen Eighty-Four",1984,"1980s","Drama",6.99034712499968,7430072,8430492,1000420,0.134644724842505,6.8709930222466,6.92585292060933,"Intermedia"
"Ninja III: The Domination",1984,"1980s","Action",5.51195121179367,2e+06,7610785,5610785,2.8053925,6.30102999566398,6.88142945356241,"Intermedia"
"Once Upon a Time in America",1984,"1980s","Drama",8.29470245065587,3e+07,5500000,-24500000,-0.816666666666667,7.47712125471966,6.74036268949424,"Alta calidad + poco rentable"
"Paris, Texas",1984,"1980s","Drama",8.08593706258883,1750000,2181987,431987,0.246849714285714,6.24303804868629,6.33885215878895,"Alta calidad + poco rentable"
"A Passage to India",1984,"1980s","Drama",7.25186437451522,14500000,4e+07,25500000,1.75862068965517,7.16136800223498,7.60205999132796,"Intermedia"
"The Philadelphia Experiment",1984,"1980s","Science Fiction",6.10293584602992,9e+06,8103330,-896670,-0.09963,6.95424250943933,6.90866352547515,"Intermedia"
"Places in the Heart",1984,"1980s","Drama",7.32285930126879,9500000,34901614,25401614,2.67385410526316,6.97772360528885,7.54284551105907,"Intermedia"
"Police Academy",1984,"1980s","Comedy",6.69632457319252,4500000,81198894,76698894,17.0441986666667,6.65321251377534,7.90955011381053,"Intermedia"
"The Pope of Greenwich Village",1984,"1980s","Action",6.56213359669351,8e+06,6836201,-1163799,-0.145474875,6.90308998699194,6.834814823491,"Intermedia"
"Protocol",1984,"1980s","Comedy",5.5988289588255,1.2e+07,26200000,14200000,1.18333333333333,7.07918124604763,7.41830129131975,"Intermedia"
"Purple Rain",1984,"1980s","Drama",6.48721852799718,7200000,68392977,61192977,8.49902458333333,6.85733249643127,7.83501150805433,"Intermedia"
"Racing with the Moon",1984,"1980s","Drama",6.532360028289,9e+06,6045657,-2954343,-0.328260333333333,6.95424250943933,6.78144350386844,"Intermedia"
"The Razor's Edge",1984,"1980s","Drama",6.36637367041945,1.3e+07,6551987,-6448013,-0.496001,7.11394335230684,6.81637302705611,"Intermedia"
"Red Dawn",1984,"1980s","Action",6.29789782794908,1.7e+07,38400000,21400000,1.25882352941176,7.23044892137827,7.58433122436753,"Intermedia"
"Repo Man",1984,"1980s","Comedy",6.78589847812521,1500000,2300000,8e+05,0.533333333333333,6.17609125905568,6.36172783601759,"Intermedia"
"Rhinestone",1984,"1980s","Comedy",4.3159645713956,2.8e+07,21435321,-6564679,-0.234452821428571,7.44715803134222,7.33112999157816,"Baja calidad + poco rentable"
"The River",1984,"1980s","Drama",6.28445129255932,1.8e+07,11500000,-6500000,-0.361111111111111,7.25527250510331,7.06069784035361,"Intermedia"
"Romancing the Stone",1984,"1980s","Romance",6.8933247411701,1e+07,86572238,76572238,7.6572238,7,7.93737864471479,"Intermedia"
"Runaway",1984,"1980s","Science Fiction",5.91520302625614,8e+06,6770587,-1229413,-0.153676625,6.90308998699194,6.83062632301446,"Baja calidad + poco rentable"
"Savage Streets",1984,"1980s","Action",6.19380080860124,1500000,5e+06,3500000,2.33333333333333,6.17609125905568,6.69897000433602,"Intermedia"
"Sheena",1984,"1980s","Action",5.08106661271772,2.5e+07,5.8e+07,3.3e+07,1.32,7.39794000867204,7.76342799356294,"Intermedia"
"Silent Night, Deadly Night",1984,"1980s","Thriller",5.8157199976098,1065000,2491460,1426460,1.33939906103286,6.02734960777476,6.39645391903317,"Intermedia"
"Sixteen Candles",1984,"1980s","Comedy",6.9937462320066,6500000,23686027,17186027,2.64400415384615,6.81291335664286,7.37449222000184,"Intermedia"
