"genre_main","median_roi"
"Documentary",1.80807336666667
"Horror",1.5167832
"Animation",1.17167626451613
"Family",1.16013848235294
"Romance",1.02562502173913
"Adventure",0.924591816498316
"Fantasy",0.9144355
"Action",0.903904023714285
"Comedy",0.9009825
"Science Fiction",0.75372731838565
"Music",0.729942523809524
"Crime",0.642551682539683
"Mystery",0.536892052631579
"Drama",0.514762
"Thriller",0.442857142857143
"War",0.3882274
"Western",0.0810345
"History",0.0794758125
